state_code,district_code,sub_district_code,level,area_name,noofvillages,total_population,male_population,female_population
3,37,0,DISTRICT,Jalandhar,922,1032419,528790,503629
3,37,209,SUB-DISTRICT,Shahkot,176,141682,72574,69108
3,37,210,SUB-DISTRICT,Nakodar,146,171184,87411,83773
3,37,211,SUB-DISTRICT,Phillaur,225,311277,159096,152181
3,37,212,SUB-DISTRICT,Jalandhar - I,137,171718,87699,84019
3,37,213,SUB-DISTRICT,Jalandhar - II,238,236558,122010,114548
3,38,0,DISTRICT,Hoshiarpur,1385,1251656,634470,617186
3,38,214,SUB-DISTRICT,Dasua,379,304301,153601,150700
3,38,215,SUB-DISTRICT,Mukerian ,304,273924,137646,136278
3,38,216,SUB-DISTRICT,Hoshiarpur ,406,371035,189724,181311
3,38,217,SUB-DISTRICT,Garhshankar,296,302396,153499,148897
3,39,0,DISTRICT,Shahid Bhagat Singh Nagar ,458,486894,248118,238776
3,39,218,SUB-DISTRICT,Nawanshahr,275,327350,165659,161691
3,39,219,SUB-DISTRICT,Balachaur,183,159544,82459,77085
3,40,0,DISTRICT,Fatehgarh Sahib,442,414681,220050,194631
3,40,220,SUB-DISTRICT,Bassi Pathana,100,75875,40254,35621
3,40,221,SUB-DISTRICT,Fatehgarh Sahib,170,144237,76457,67780
3,40,222,SUB-DISTRICT,Amloh,100,113666,60769,52897
3,40,223,SUB-DISTRICT,Khamanon,72,80903,42570,38333
3,41,0,DISTRICT,Ludhiana,885,1429031,753444,675587
3,41,224,SUB-DISTRICT,Samrala,196,178791,93791,85000
3,41,225,SUB-DISTRICT,Khanna,67,94160,49579,44581
3,41,226,SUB-DISTRICT,Payal,105,172631,91242,81389
3,41,227,SUB-DISTRICT,Ludhiana (East),181,279688,149023,130665
3,41,228,SUB-DISTRICT,Ludhiana (West),125,272489,143430,129059
3,41,229,SUB-DISTRICT,Raikot,72,155278,81700,73578
3,41,230,SUB-DISTRICT,Jagraon,139,275994,144679,131315
3,42,0,DISTRICT,Moga,319,768500,405704,362796
3,42,231,SUB-DISTRICT,Nihal Singhwala,39,163823,86689,77134
3,42,232,SUB-DISTRICT,Bagha Purana,56,200443,105936,94507
3,42,233,SUB-DISTRICT,Moga,224,404234,213079,191155
3,43,0,DISTRICT,Firozpur,955,1476518,776208,700310
3,43,234,SUB-DISTRICT,Zira,206,190099,99182,90917
3,43,235,SUB-DISTRICT,Firozpur,332,367255,193529,173726
3,43,236,SUB-DISTRICT,Jalalabad ,206,299310,156475,142835
3,43,237,SUB-DISTRICT,Fazilka,135,321890,168644,153246
3,43,238,SUB-DISTRICT,Abohar ,76,297964,158378,139586
3,44,0,DISTRICT,Muktsar,233,649705,342202,307503
3,44,239,SUB-DISTRICT,Malout,91,266759,140341,126418
3,44,240,SUB-DISTRICT,Gidderbaha,47,177567,93572,83995
3,44,241,SUB-DISTRICT,Muktsar,95,205379,108289,97090
3,45,0,DISTRICT,Faridkot,163,400457,210782,189675
3,45,242,SUB-DISTRICT,Faridkot,122,276904,145755,131149
3,45,243,SUB-DISTRICT,Jaitu,41,123553,65027,58526
3,46,0,DISTRICT,Bathinda,279,889308,474484,414824
3,46,244,SUB-DISTRICT,Rampura Phul,74,251179,132866,118313
3,46,245,SUB-DISTRICT,Bathinda,118,397190,208686,188504
3,46,246,SUB-DISTRICT,Talwandi Sabo,87,240939,132932,108007
3,47,0,DISTRICT,Mansa,238,606147,322184,283963
3,47,247,SUB-DISTRICT,Sardulgarh,70,155015,81841,73174
3,47,248,SUB-DISTRICT,Budhlada,85,211102,111914,99188
3,47,249,SUB-DISTRICT,Mansa,83,240030,128429,111601
3,48,0,DISTRICT,Patiala,895,1132406,598800,533606
3,48,250,SUB-DISTRICT,Samana,73,119898,63599,56299
3,48,251,SUB-DISTRICT,Patran,68,155558,81722,73836
3,48,252,SUB-DISTRICT,Nabha,169,191786,101593,90193
3,48,253,SUB-DISTRICT,Patiala,345,381830,201496,180334
3,48,254,SUB-DISTRICT,Rajpura,240,283334,150390,132944
3,49,0,DISTRICT,Amritsar ,703,1156045,607266,548779
3,49,255,SUB-DISTRICT,Ajnala,311,395492,207983,187509
3,49,256,SUB-DISTRICT,Amritsar -I  ,139,254532,133311,121221
3,49,257,SUB-DISTRICT,Amritsar- II ,100,224549,119201,105348
3,49,258,SUB-DISTRICT,Baba Bakala ,153,281472,146771,134701
3,50,0,DISTRICT,Tarn Taran,479,977832,514322,463510
3,50,259,SUB-DISTRICT,Tarn Taran,193,426778,224628,202150
3,50,260,SUB-DISTRICT,Patti ,192,363242,191685,171557
3,50,261,SUB-DISTRICT,Khadur Sahib,94,187812,98009,89803
3,51,0,DISTRICT,Rupnagar,591,506820,264089,242731
3,51,262,SUB-DISTRICT,Anandpur Sahib,190,178163,91877,86286
3,51,263,SUB-DISTRICT,Nangal,57,85088,43281,41807
3,51,264,SUB-DISTRICT,Rup Nagar,161,106170,56169,50001
3,51,265,SUB-DISTRICT,Chamkaur Sahib,183,137399,72762,64637
3,52,0,DISTRICT,Sahibzada Ajit Singh Nagar,403,450017,240984,209033
3,52,266,SUB-DISTRICT,Kharar,181,167209,89069,78140
3,52,267,SUB-DISTRICT,SAS Nagar (Mohali),82,113448,60953,52495
3,52,268,SUB-DISTRICT,Dera Bassi,140,169360,90962,78398
3,53,0,DISTRICT,Sangrur,564,1139204,604653,534551
3,53,269,SUB-DISTRICT,Malerkotla,180,255689,135014,120675
3,53,270,SUB-DISTRICT,Dhuri,95,206022,109346,96676
3,53,271,SUB-DISTRICT,Sangrur,123,228668,121633,107035
3,53,272,SUB-DISTRICT,Sunam,81,237005,126496,110509
3,53,273,SUB-DISTRICT,Lehra,39,109794,58280,51514
3,53,274,SUB-DISTRICT,Moonak,46,102026,53884,48142
3,54,0,DISTRICT,Barnala,127,404842,215210,189632
3,54,275,SUB-DISTRICT,Barnala,77,239823,127744,112079
3,54,276,SUB-DISTRICT,Tapa,50,165019,87466,77553
4,0,0,STATE,CHANDIGARH,5,28991,17150,11841
4,55,0,DISTRICT,Chandigarh,5,28991,17150,11841
4,55,277,SUB-DISTRICT,Chandigarh,5,28991,17150,11841
5,0,0,STATE,UTTARAKHAND,15745,7036954,3519042,3517912
5,56,0,DISTRICT,Uttarkashi,694,305781,155375,150406
5,56,278,SUB-DISTRICT,Puraula,83,33792,17106,16686
5,56,279,SUB-DISTRICT,Mori,99,40491,20840,19651
5,56,280,SUB-DISTRICT,Rajgarhi,182,63844,32440,31404
5,56,281,SUB-DISTRICT,Dunda,126,60283,30080,30203
5,56,282,SUB-DISTRICT,Chinyali Saur,104,49900,24443,25457
5,56,283,SUB-DISTRICT,Bhatwari,100,57471,30466,27005
5,57,0,DISTRICT,Chamoli,1170,332209,160369,171840
5,57,284,SUB-DISTRICT,Joshimath ,91,29055,15786,13269
5,57,285,SUB-DISTRICT,Chamoli,202,76894,38207,38687
5,57,286,SUB-DISTRICT,Pokhari ,135,35890,16959,18931
5,57,287,SUB-DISTRICT,Karnaprayag,207,38844,18106,20738
5,57,288,SUB-DISTRICT,Tharali  ,315,89114,42556,46558
5,57,289,SUB-DISTRICT,Gairsain,220,62412,28755,33657
5,58,0,DISTRICT,Rudraprayag,653,232360,108740,123620
5,58,290,SUB-DISTRICT,Ukhimath,232,86412,42005,44407
5,58,291,SUB-DISTRICT,"Rudraprayag
",284,82546,37736,44810
5,58,292,SUB-DISTRICT,Jakholi,137,63402,28999,34403
5,59,0,DISTRICT,Tehri Garhwal,1774,548792,259381,289411
5,59,293,SUB-DISTRICT,Ghansali,292,120775,54496,66279
5,59,294,SUB-DISTRICT,Devprayag,365,90772,42780,47992
5,59,295,SUB-DISTRICT,Pratapnagar,147,73592,34982,38610
5,59,296,SUB-DISTRICT,Jakhani Dhar,134,32753,14992,17761
5,59,297,SUB-DISTRICT,Tehri   ,329,85822,40305,45517
5,59,298,SUB-DISTRICT,Dhanaulti,259,74083,37099,36984
5,59,299,SUB-DISTRICT,Narendra Nagar,248,70995,34727,36268
5,60,0,DISTRICT,Dehradun,731,754753,392891,361862
5,60,300,SUB-DISTRICT,Chakrata ,110,44490,22819,21671
5,60,301,SUB-DISTRICT,Tyuni,82,33926,17716,16210
5,60,302,SUB-DISTRICT,Kalsi,169,47329,24840,22489
5,60,303,SUB-DISTRICT,Vikas Nagar,136,265023,138565,126458
5,60,304,SUB-DISTRICT,"Dehradun",147,226042,117305,108737
5,60,305,SUB-DISTRICT,"Rishikesh",87,137943,71646,66297
5,61,0,DISTRICT,Garhwal,3142,574568,268029,306539
5,61,306,SUB-DISTRICT,Srinagar,180,33574,16434,17140
5,61,307,SUB-DISTRICT,Pauri,732,109562,50111,59451
5,61,308,SUB-DISTRICT,Thailisain,402,92286,41776,50510
